Metric,Value
Width Min,438.0
Width Max,2752.0
Width Mean,1449.0588235294117
Width Std,416.98741631291676
Height Min,168.0
Height Max,2713.0
Height Mean,1082.7044117647058
Height Std,432.6364687566033
Aspect Ratio Mean,1.408904694047414
Aspect Ratio Std,0.23832420139153088
File Size Mean (KB),233.33690975413603
File Size Std (KB),246.70265590925
